n	L
5	3.0931848368
6	3.2381204974
7	3.2719100346
8	3.3041156882
9	3.3292008586
10	3.3595026336
11	3.3793696804
12	3.4437275004
13	3.474640126
14	3.5011271638
15	3.5219177084
16	3.565892231
17	3.5826930882
18	3.6028765296
19	3.6219426026
20	3.6451352122
21	3.6712498428
22	3.680972575
23	3.698132125
24	3.7140400198
25	3.7328222814
26	3.7557088256
27	3.7681433544
28	3.7822677712
29	3.8010616048
30	3.8102782926
31	3.8265757148
32	3.8329236434
33	3.84323079
34	3.8603617446
35	3.8737580968
36	3.8774666092
37	3.8865520106
38	3.8982539284
39	3.9039267554
40	3.9259332982
41	3.9366866988
42	3.9402535528
43	3.9546504822
44	3.9602557896
45	3.9692259288
46	3.9783715786
47	3.9836094768
48	3.9941283438
49	3.9996670934
50	4.0078078442
51	4.0167792442
52	4.0278929158
53	4.029676433
54	4.0398151064
55	4.047199027
56	4.0539899472
57	4.0580914062
58	4.0704174402
59	4.078418386
60	4.0834308316
61	4.085852206
62	4.0951403286
63	4.0941141888
64	4.1058767684
65	4.1094293946
66	4.1182085476
67	4.1217093454
68	4.1307231792
69	4.1367782376
70	4.139855926
71	4.1477501122
72	4.1509283522
73	4.1552863452
74	4.1628682436
75	4.1695843332
76	4.1702035198
77	4.1783122094
78	4.1801528662
79	4.1892011338
80	4.1881316358
81	4.196108911
82	4.2029795412
83	4.2063494988
84	4.2100667854
85	4.217919421
86	4.2217219396
87	4.222154715
88	4.2290485384
89	4.2334117912
90	4.2333271062
91	4.2389987976
92	4.2433057612
93	4.247527741
94	4.2530206756
95	4.2538609718
96	4.2614998418
97	4.26200116
98	4.2605800622
99	4.2752318616
100	4.2759525046
