n	H
5	1.5465924184
6	1.6190602487
7	1.6359550173
8	1.6520578441
10	1.6797513168
11	1.6896848402
12	1.7218637502
13	1.737320063
14	1.7505635819
15	1.7609588542
16	1.7829461155
17	1.7913465441
18	1.8014382648
19	1.8109713013
20	1.8225676061
21	1.8356249214
22	1.8404862875
23	1.8490660625
24	1.8570200099
25	1.8664111407
26	1.8778544128
27	1.8840716772
28	1.8911338856
29	1.9005308024
30	1.9051391463
31	1.9132878574
32	1.9164618217
33	1.921615395
34	1.9301808723
35	1.9368790484
36	1.9387333046
37	1.9432760053
38	1.9491269642
39	1.9519633777
40	1.9629666491
41	1.9683433494
42	1.9701267764
43	1.9773252411
44	1.9801278948
45	1.9846129644
46	1.9891857893
47	1.9918047384
48	1.9970641719
49	1.9998335467
50	2.0039039221
51	2.0083896221
52	2.0139464579
53	2.0148382165
54	2.0199075532
55	2.0235995135
56	2.0269949736
57	2.0290457031
58	2.0352087201
59	2.039209193
60	2.0417154158
61	2.042926103
62	2.0475701643
63	2.0470570944
64	2.0529383842
65	2.0547146973
66	2.0591042738
67	2.0608546727
68	2.0653615896
69	2.0683891188
70	2.069927963
71	2.0738750561
72	2.0754641761
73	2.0776431726
74	2.0814341218
75	2.0847921666
76	2.0851017599
77	2.0891561047
78	2.0900764331
79	2.0946005669
80	2.0940658179
81	2.0980544555
82	2.1014897706
83	2.1031747494
84	2.1050333927
85	2.1089597105
86	2.1108609698
87	2.1110773575
88	2.1145242692
89	2.1167058956
90	2.1166635531
91	2.1194993988
92	2.1216528806
93	2.1237638705
94	2.1265103378
95	2.1302828529
96	2.1307499209
97	2.1316322851
98	2.1302900311
100	2.1379762523
