N	L/2
5	4.0133437487
6	4.6621418318
7	5.3492255393
8	6.0540180388
9	6.7117667752
10	7.3115173657
11	7.9521950371
12	8.627507767
13	9.2955966384
14	10.008152674
15	10.649614166
16	11.282439669
17	11.978476086
18	12.631385924
19	13.31518105
20	13.968452028
21	14.626905058
22	15.272721587
23	15.969882313
24	16.653372989
25	17.306454303
26	17.979069743
27	18.620056264
28	19.295930088
29	19.952137054
30	20.626674905
31	21.312556734
32	21.958317001
33	22.626063217
34	23.285123101
35	23.96116188
36	24.621200075
37	25.285750647
38	25.963110254
39	26.614877782
40	27.267254155
41	27.926386696
42	28.580227439
43	29.270856968
44	29.924833382
45	30.594573194
46	31.257839658
47	31.944698244
48	32.582134842
49	33.241636301
50	33.912235113
51	34.584360092
52	35.22994349
53	35.911462327
54	36.559562952
55	37.215624585
56	37.893131313
57	38.549767776
58	39.213900558
59	39.864337303
60	40.527219699
61	41.18147475
62	41.88383092
63	42.533523818
64	43.169062932
65	43.841466231
66	44.491906634
67	45.168629111
68	45.830022363
69	46.477451751
70	47.153601617
71	47.815462096
72	48.475216344
73	49.138733545
74	49.796790467
75	50.472254533
76	51.138345291
77	51.775371949
78	52.46810775
79	53.0972932
80	53.766511097
81	54.439964513
82	55.085089126
83	55.734632178
84	56.415039684
85	57.063205822
86	57.729278737
87	58.40590319
88	59.044883291
89	59.708894842
90	60.369727947
91	61.043388253
92	61.711145621
93	62.366470613
94	63.027631533
95	63.68887681
96	64.365134263
97	64.988056965
98	65.662676742
99	66.337019913
100	66.973527689
