n	L
5	8.0266874974
6	9.3242836636
7	10.6984510786
8	12.1080360776
9	13.4235335504
10	14.6230347314
11	15.9043900742
12	17.255015534
13	18.5911932768
14	20.016305348
15	21.299228332
16	22.564879338
17	23.956952172
18	25.262771848
19	26.6303621
20	27.936904056
21	29.253810116
22	30.545443174
23	31.939764626
24	33.306745978
25	34.612908606
26	35.958139486
27	37.240112528
28	38.591860176
29	39.904274108
30	41.25334981
31	42.625113468
32	43.916634002
33	45.252126434
34	46.570246202
35	47.92232376
36	49.24240015
37	50.571501294
38	51.926220508
39	53.229755564
40	54.53450831
41	55.852773392
42	57.160454878
43	58.541713936
44	59.849666764
45	61.189146388
46	62.515679316
47	63.889396488
48	65.164269684
49	66.483272602
50	67.824470226
51	69.168720184
52	70.45988698
53	71.822924654
54	73.119125904
55	74.43124917
56	75.786262626
57	77.099535552
58	78.427801116
59	79.728674606
60	81.054439398
61	82.3629495
62	83.76766184
63	85.067047636
64	86.338125864
65	87.682932462
66	88.983813268
67	90.337258222
68	91.660044726
69	92.954903502
70	94.307203234
71	95.630924192
72	96.950432688
73	98.27746709
74	99.593580934
75	100.944509066
76	102.276690582
77	103.550743898
78	104.9362155
79	106.1945864
80	107.533022194
81	108.879929026
82	110.170178252
83	111.469264356
84	112.830079368
85	114.126411644
86	115.458557474
87	116.81180638
88	118.089766582
89	119.417789684
90	120.739455894
91	122.086776506
92	123.422291242
93	124.732941226
94	126.055263066
95	127.37775362
96	128.730268526
97	129.97611393
98	131.325353484
99	132.674039826
100	133.947055378
