n	H
2	1.5783399759
3	1.7460320914
4	1.862668634
5	2.2190752666
6	2.4070735733
7	2.5981216495
8	2.5983011466
9	2.7593903921
10	3.0526219422
11	3.1700133339
12	3.1940271031
13	3.3780559917
14	3.4642582991
15	3.4822769877
16	3.6605300137
17	3.8043307078
18	3.8563422851
19	3.9627469519
20	3.9751195334
21	4.1913832081
22	4.3303115086
23	4.330511636
24	4.3982773211
25	4.5331948728
26	4.6109120991
27	4.64220366
28	4.7553371261
29	4.7589357438
30	4.7608501327
31	5.05215636
32	5.1964654846
33	5.1965141959
34	5.1966005985
35	5.3260361298
36	5.3891772929
37	5.3894711079
38	5.4160870601
39	5.4277694616
40	5.5700495323
41	5.59116402
42	5.601495183
43	5.8373844336
44	6.0624574012
45	6.0625899487
46	6.0627773294
47	6.0624026405
48	6.0861549611
49	6.1818701226
50	6.1847885766
51	6.1988709993
52	6.2046318045
53	6.3406450426
54	6.4068140703
55	6.433911157
56	6.4481795088
57	6.9284345104
58	6.928536204
59	6.9283279052
60	6.8164335308
61	6.83520485
62	6.8608621824
63	6.9743120339
64	6.9746870618
65	6.9810725485
66	6.9817979544
67	6.9829380013
68	7.1340237836
69	7.1952228923
70	7.2537506978
71	7.2821606714
72	7.2992252522
73	7.4101278981
74	7.7946108498
75	7.6085416061
76	7.6094270472
77	7.6093585188
78	7.6262107866
79	7.7944148944
80	7.7944006439
81	7.7947431037
82	7.794813397
83	7.7947394858
84	7.7952099254
85	7.7954520718
86	7.9260124246
87	8.054974732
88	8.1067070964
89	8.1352676606
90	8.1529351925
91	8.2261252865
92	8.4558924503
93	8.3061378563
94	8.4017989252
95	8.402190122
96	8.415480345
97	8.4265276025
98	8.4279408869
99	8.6604666886
100	8.6603784789
