n	L
2	1.5783251808
3	1.7460161065
4	1.862668634
5	2.2189956783
6	2.4070208036
7	2.5980912101
8	2.598146247
9	2.7592623066
10	3.0525105297
11	3.166401293
12	3.1939258897
13	3.3779131805
14	3.4641952584
15	3.4821391276
16	3.6560881142
17	3.8023684367
18	3.8514402247
19	3.9625601512
20	3.9749357076
21	4.1910600848
22	4.3302326805
23	4.330511636
24	4.3982773211
25	4.5329806355
26	4.6107581284
27	4.64220366
28	4.7551061079
29	4.7588322892
30	4.7604816667
31	4.9979808882
32	5.1963161062
33	5.196347427
34	5.1964363119
35	5.3008127652
36	5.3878382125
37	5.3893860724
38	5.4158665244
39	5.4227997269
40	5.5698999883
41	5.59116402
42	5.601495183
43	5.8068398564
44	5.880021601
45	5.9543867286
46	6.06255188
47	6.0623407215
48	6.0845188901
49	6.1818402918
50	6.182192855
51	6.1986028439
52	6.2040184647
53	6.3405292466
54	6.4064644385
55	6.433911157
56	6.4480160684
57	6.6282835882
58	6.928536204
59	6.7640075047
60	6.8132906538
61	6.83520485
62	6.8605341316
63	6.8694418257
64	6.9744762949
65	6.9748819595
66	6.9751687077
67	6.9815314141
68	6.9839221603
69	7.1948220405
70	7.2536103534
71	7.2819538913
72	7.298825493
73	7.4101278981
74	7.487399879
75	7.5298319751
76	7.6078024803
77	7.6091111349
78	7.6246182663
79	7.6436854406
80	7.6521528681
81	7.7943498682
82	7.794813397
83	7.7946844553
84	7.7947870978
85	7.7950483392
86	7.9253511338
87	8.054974732
88	8.1067070964
89	8.13470484
90	8.1528843185
91	8.2202087545
92	8.2753861579
93	8.3057753833
94	8.3158502849
95	8.402190122
96	8.415480345
97	8.4210832454
98	8.4268452694
99	8.4336630364
100	8.6603633474
