n	H
2	2.3680760541
3	3.9458663818
4	5.5251779446
5	7.1060747792
6	8.7086177077
7	11.258613791
8	13.182875053
9	15.14033309
10	17.682550555
11	20.273907168
12	22.858458988
13	25.495301483
14	28.195034109
15	31.177811366
16	34.163027948
17	37.045620933
18	40.70356324
19	43.343469308
20	46.927046934
21	50.230122893
22	53.693817066
23	57.158389282
24	60.468548232
25	64.033213859
26	67.834937251
27	71.70732664
28	75.622459339
29	79.174327706
30	83.476510081
31	87.863918847
32	91.799171858
33	96.206526058
34	100.46023134
35	103.92383459
36	108.25434975
37	113.45018504
38	116.99895493
39	122.11023932
40	128.17340416
41	131.63638666
42	135.73642359
43	140.29704779
44	145.72750181
45	150.39302875
46	155.48473103
47	160.21744256
48	164.54772412
49	169.75178157
50	174.96863068
51	180.30693774
52	185.40497836
53	191.24829319
54	195.72469893
55	201.09601741
56	206.9840849
57	212.17805278
58	218.24031223
59	222.57022474
60	229.49778973
61	234.75795376
62	240.79849266
63	245.9732255
64	252.07339168
65	257.21094373
66	263.30028341
67	267.8334117
68	274.57921124
69	280.30624546
70	286.71355081
71	293.58930232
72	298.52270287
73	304.84695545
74	310.11861737
75	317.22457694
76	323.80507533
77	329.90386298
78	337.04074908
79	342.9105164
80	350.08138035
81	357.38406764
82	361.69367926
83	368.37874642
84	375.87971864
85	381.92110584
86	387.30277935
87	394.90908078
88	401.85711088
89	407.97716608
90	413.96117877
91	424.44783115
92	429.55122756
93	436.54703802
94	443.40732621
95	449.47043287
96	457.71906576
97	465.14688455
98	468.79549325
99	478.36136012
100	484.0107332
