n	H
2	1.5772798933
3	1.8478044366
4	1.8478312883
5	2.2305667073
6	2.4919328662
7	2.6925129665
8	2.7717323462
9	2.7719446063
10	3.1544685472
11	3.2898789917
12	3.374016538
13	3.5205718961
14	3.6429936586
15	3.6957527767
16	3.6959743873
17	3.9992159661
18	4.060151448
19	4.200938928
20	4.2503501393
21	4.3936303834
22	4.452733269
23	4.6194812054
24	4.6199092396
25	4.6201245193
26	4.8803756985
27	4.9450998042
28	5.0244619519
29	5.1088976246
30	5.1245325091
31	5.2732203491
32	5.3368166963
33	5.3797692396
34	5.5434311508
35	5.5438428587
36	5.6930153723
37	5.7676984681
38	5.7920594427
39	5.8184764743
40	5.9399558993
41	5.999981291
42	6.0046496748
43	6.1501211468
44	6.2215907983
45	6.2718805239
46	6.4673484278
47	6.4672550434
48	6.4680236303
49	6.5793415518
50	6.6373690613
51	6.6760887215
52	6.7045886133
53	6.7675107439
54	6.8545646352
55	6.9114487004
56	6.9192229361
57	7.0762106741
58	7.1207753358
59	7.1579730684
60	7.2280212929
61	7.3911909434
62	7.3613866426
63	7.384083378
64	7.457522816
65	7.4873507073
66	7.5258976316
67	7.5599346553
68	7.6691418785
69	7.6941521611
70	7.7740740532
71	7.8290169071
72	7.8358960716
73	7.9453719557
74	7.9845770656
75	8.0556940002
76	8.1383006243
77	8.1770293511
78	8.2069825205
79	8.3151393087
80	8.2587888759
81	8.315127463
82	8.3873635442
83	8.4327216102
84	8.4410222712
85	8.4938303826
86	8.5110865023
87	8.6038951546
88	8.6978817442
89	8.7620638904
90	8.7549859843
91	8.8520179451
92	8.9168324796
93	8.9453863119
94	9.0189507783
95	9.0179434983
96	9.0442218203
97	9.1371896961
98	9.1565078608
99	9.1863349289
100	9.245088418
