n	L
2	1.5771832243
3	1.847765861
4	1.8478186076
5	2.2305312968
6	2.4918771068
7	2.6924589027
8	2.7716967991
9	2.7717930647
10	3.1543890008
11	3.2819993875
12	3.374016538
13	3.5205185654
14	3.6165190009
15	3.6956521442
16	3.6958244312
17	3.9991257613
18	4.060151448
19	4.200938928
20	4.2501452249
21	4.3931277268
22	4.452733269
23	4.5669030502
24	4.6196396836
25	4.619982838
26	4.880287462
27	4.944728845
28	5.0213165955
29	5.093527035
30	5.1242562963
31	5.2563222986
32	5.3364997844
33	5.3797692396
34	5.4910702254
35	5.5437510491
36	5.5442116997
37	5.7313539462
38	5.7909663343
39	5.8182065154
40	5.9391006877
41	5.999981291
42	6.0043312058
43	6.1384625283
44	6.20994926
45	6.271485654
46	6.305597654
47	6.4672200033
48	6.4678138136
49	6.573473335
50	6.6264343004
51	6.6724630437
52	6.7030748811
53	6.7652410814
54	6.8542079564
55	6.91129668
56	6.918945106
57	7.0262316246
58	7.0731227099
59	7.1394041748
60	7.2029527564
61	7.2310593163
62	7.3559301336
63	7.384083378
64	7.457522816
65	7.4861607323
66	7.5258732815
67	7.5592866607
68	7.5774640545
69	7.690177087
70	7.773938527
71	7.8277808628
72	7.8357825295
73	7.9220296739
74	7.9656395771
75	7.9981794415
76	8.0720605359
77	8.1530458612
78	8.1966241797
79	8.2258110555
80	8.2565131715
81	8.315127463
82	8.3579945833
83	8.4054522799
84	8.4373515812
85	8.4523194362
86	8.5103601967
87	8.6013113281
88	8.6809012439
89	8.7257714803
90	8.754580034
91	8.8196591017
92	8.8549651896
93	8.8949673253
94	8.9485890772
95	9.0126557311
96	9.0427729309
97	9.08563735
98	9.1122458329
99	9.1432456441
100	9.245088418
