n	H
2	2.3666607543
3	3.9434909648
4	5.5435352713
5	7.3914331323
6	9.2395049709
7	11.25847824
8	13.858538151
9	15.706298587
10	18.38055232
11	21.190285198
12	23.55120632
13	26.195107817
14	29.22557755
15	32.108517862
16	35.149054721
17	38.282246838
18	41.92136909
19	45.270885891
20	48.96657475
21	52.126778085
22	55.686719266
23	59.342076431
24	62.826166129
25	67.556912927
26	71.139589762
27	75.132437618
28	79.454197215
29	83.150378013
30	87.769023516
31	91.485794854
32	96.395993052
33	100.818069
34	105.17210464
35	109.01873823
36	113.63857676
37	119.18108246
38	123.18624966
39	128.51208742
40	133.06926674
41	137.65934901
42	143.2018817
43	147.82177873
44	152.71620188
45	157.77246018
46	163.52834746
47	168.2249941
48	174.62270516
49	179.23417986
50	184.77857784
51	189.74386538
52	195.06683476
53	201.44917426
54	206.41865685
55	212.02018473
56	217.61529685
57	223.1551034
58	229.60097205
59	235.35679882
60	241.1339328
61	247.64860283
62	253.14420119
63	258.99188494
64	265.80893423
65	272.54621448
66	278.089142
67	284.28484658
68	290.19103735
69	295.64532742
70	302.03832729
71	308.98634626
72	315.51862485
73	322.44771879
74	329.30023489
75	335.93959795
76	342.19871836
77	347.98662835
78	355.69462903
79	362.34217036
80	368.78229054
81	374.74964018
82	383.15342038
83	389.81221042
84	396.85892643
85	403.32064067
86	410.20431275
87	416.76447075
88	425.46805663
89	430.53841467
90	438.92853069
91	446.43996205
92	453.01346535
93	461.02833667
94	468.41156225
95	476.4251425
96	482.28776337
97	490.5826051
98	499.82068852
99	506.42249106
100	513.82330072
