n	H
2	1.4480347231
3	1.7094118161
4	1.8237288472
5	2.0861550797
6	2.2824970946
7	2.4573183287
8	2.577095408
9	2.7042882712
10	2.8848804483
11	3.0072010395
12	3.0757964346
13	3.2454617856
14	3.3682914098
15	3.4708489621
16	3.5934193678
17	3.6827734991
18	3.7243917713
19	3.8551843716
20	3.9271026739
21	4.0303439732
22	4.141592228
23	4.2453024414
24	4.3335588422
25	4.3915657359
26	4.4564668605
27	4.505452063
28	4.5987373714
29	4.6952767165
30	4.7574117325
31	4.8520640112
32	4.9384336154
33	5.0270103066
34	5.0916243728
35	5.1014276558
36	5.2013826004
37	5.2805774979
38	5.3150096813
39	5.3366528641
40	5.4544561705
41	5.5318204983
42	5.6157237804
43	5.6830556677
44	5.7415623675
45	5.8048685887
46	5.8550145434
47	5.8667569637
48	5.8849835594
49	6.0098242748
50	6.071967025
51	6.1179904704
52	6.1547535521
53	6.2450942623
54	6.3201541973
55	6.3660969678
56	6.4202252072
57	6.5025628542
58	6.5498582204
59	6.6194185431
60	6.6407993125
61	6.6971116924
62	6.6965444959
63	6.7799272583
64	6.8180168121
65	6.8794657815
66	6.9298001751
67	6.9882545376
68	7.0539459142
69	7.0965513434
70	7.1351688743
71	7.2180896649
72	7.263131857
73	7.3088725575
74	7.3769393049
75	7.4163022584
76	7.4224858125
77	7.4780486416
78	7.4897531572
79	7.5208125226
80	7.5438271754
81	7.6290672956
82	7.7045761836
83	7.7552126373
84	7.7843185093
85	7.8489659767
86	7.8797478094
87	7.9271885399
88	7.9965636327
89	8.064478295
90	8.094092631
91	8.1304695848
92	8.1883757647
93	8.2332909815
94	8.2202046734
95	8.224619255
96	8.295549514
97	8.3580099622
98	8.3795243154
99	8.4483965166
100	8.501673773
