n	H
2	2.1721453113
3	3.6201709215
4	5.0680865081
5	6.5268845676
6	8.2572888481
7	10.381697257
8	12.60074883
9	14.739772698
10	16.88560339
11	19.255971604
12	21.642681051
13	24.183702723
14	26.871897051
15	29.626990496
16	32.448805642
17	35.305789742
18	38.208565575
19	41.365518792
20	44.442459954
21	47.656356703
22	51.049467538
23	54.249623635
24	57.809085984
25	61.193060861
26	64.832456252
27	68.523683221
28	72.227322258
29	75.966661276
30	79.57634121
31	83.572604145
32	87.651259876
33	91.819178873
34	95.947409472
35	100.01654173
36	104.23935984
37	108.37183877
38	112.6909778
39	117.08071221
40	121.40476591
41	125.81571722
42	130.58353318
43	135.03268264
44	139.68181737
45	144.37507832
46	149.09284149
47	153.79206136
48	158.67515044
49	163.8047682
50	168.26207324
51	173.30303129
52	178.32757032
53	183.10387101
54	188.3053972
55	193.59171981
56	198.67800499
57	203.94586731
58	209.14143037
59	214.65557865
60	220.12273076
61	225.17945779
62	230.76726072
63	236.40482565
64	241.88970499
65	247.57151881
66	252.9762651
67	258.99581428
68	264.50399625
69	270.58861375
70	276.27735117
71	282.22127027
72	287.84770668
73	293.82400731
74	299.66686793
75	305.79152181
76	311.83883708
77	317.6788882
78	324.28515263
79	330.36300847
80	336.35281708
81	342.78565599
82	348.96799217
83	355.39195744
84	361.66196891
85	368.0108389
86	374.21037102
87	380.59743701
88	387.15297583
89	393.84440956
90	400.4798311
91	407.08376757
92	413.66645524
93	420.34418244
94	427.02930316
95	433.93595821
96	440.52479595
97	447.3464817
98	454.15690248
99	461.04886958
100	467.74657535
