n	L
2	2.1725139818
3	3.6202569971
4	5.0685116991
5	6.5274534364
6	8.2584322225
7	10.464322164
8	12.60074883
9	14.740060241
10	16.88560339
11	19.256924042
12	21.707327861
13	24.540207821
14	27.013278626
15	29.681546544
16	32.686713435
17	35.367586201
18	38.593189421
19	41.633012648
20	44.905715981
21	47.893600654
22	51.290553844
23	54.641789614
24	58.316987735
25	61.816626751
26	65.040241587
27	68.570356517
28	72.490540041
29	76.016247213
30	80.036972687
31	84.246133276
32	88.043216633
33	92.037464748
34	96.293501264
35	100.30614609
36	104.89989427
37	108.37183877
38	113.15699439
39	117.60924275
40	121.94602344
41	126.51803439
42	131.11755476
43	135.40188168
44	140.16038484
45	145.14498034
46	149.84358834
47	154.353994
48	159.03136857
49	163.8047682
50	168.83748241
51	173.82657096
52	178.81923548
53	184.03667362
54	189.12912797
55	194.37114556
56	199.27945283
57	204.563542
58	209.87102178
59	215.16681972
60	220.72087511
61	225.71091729
62	231.25423365
63	237.36154983
64	242.75800884
65	248.10380353
66	253.78154131
67	259.57777495
68	265.57564901
69	271.33305909
70	276.87657869
71	282.90796594
72	288.67093375
73	294.61789264
74	300.54854839
75	306.58170002
76	312.03066792
77	319.16669271
78	324.81792698
79	330.63830332
80	337.46117428
81	343.10744109
82	349.94819539
83	356.19544378
84	362.5094749
85	368.7470717
86	375.98808944
87	380.92906991
88	388.38987464
89	394.92935182
90	401.20292946
91	407.93417115
92	414.5776907
93	421.60530641
94	428.00682398
95	434.91385831
96	441.10301079
97	447.33939155
98	456.13638018
99	462.34300876
100	469.13902308
