n	H
2	1.0606934416
3	1.2804283705
4	1.3661030332
5	1.5617225849
6	1.6628518473
7	1.732292177
8	1.817225649
9	1.9812449133
10	2.0589150611
11	2.1575940034
12	2.2405939248
13	2.2479100969
14	2.3610758654
15	2.4516593551
16	2.5131700772
17	2.6041711652
18	2.6504888616
19	2.7654872894
20	2.7985734999
21	2.8804044539
22	2.9338316036
23	2.9796188592
24	3.0257131048
25	3.0651678315
26	3.1283033966
27	3.1816175439
28	3.2640046101
29	3.3168664245
30	3.3545477796
31	3.417576575
32	3.4467982499
33	3.5109863164
34	3.555398844
35	3.624172667
36	3.6623567502
37	3.706180972
38	3.7582877716
39	3.7940769398
40	3.8396512752
41	3.8758585696
42	3.9236572256
43	3.9550693447
44	3.989825732
45	4.0531914542
46	4.1293245254
47	4.1713430907
48	4.1943028677
49	4.2619531681
50	4.294452988
51	4.3423907861
52	4.3490112361
53	4.4045019723
54	4.4312292482
55	4.4782101124
56	4.4975828934
57	4.5377787662
58	4.5877145109
59	4.6090723123
60	4.6493008192
61	4.7081762161
62	4.7448524982
63	4.7585140012
64	4.8061299131
65	4.8299586872
66	4.8718144657
67	4.9217719353
68	4.9719633001
69	4.9941307198
70	5.0217143424
71	5.0471713715
72	5.0793792967
73	5.1317135227
74	5.1543283981
75	5.2018597336
76	5.2114980614
77	5.2846330275
78	5.2706921296
79	5.2822884666
80	5.332659001
81	5.3938147744
82	5.4027654374
83	5.4245419094
84	5.4999221344
85	5.49919454
86	5.5409386577
87	5.5577976983
88	5.6047322989
89	5.6312425852
90	5.6577571293
91	5.6725904488
92	5.7007240263
93	5.7385655483
94	5.7904810489
95	5.8007369729
96	5.8599512656
97	5.8863218994
98	5.9066221975
99	5.93188874
100	5.9537361301
