n	L
2	1.0606826665
3	1.2803659199
4	1.3660819422
5	1.5616818015
6	1.6472487498
7	1.732162953
8	1.817225649
9	1.9812449133
10	2.0587636221
11	2.1574193871
12	2.2165305071
13	2.2477978869
14	2.3610264343
15	2.4511740367
16	2.5118994459
17	2.5834387312
18	2.6431427182
19	2.7106444276
20	2.7982327159
21	2.8680080607
22	2.9241382001
23	2.9721040962
24	3.0038171599
25	3.0642428267
26	3.0983165376
27	3.1812808508
28	3.2565143488
29	3.3070537379
30	3.3490092337
31	3.417576575
32	3.4464477858
33	3.5107602892
34	3.555398844
35	3.624172667
36	3.6454087972
37	3.706180972
38	3.7430226978
39	3.783943949
40	3.8231554798
41	3.8699735038
42	3.9117611473
43	3.9463910789
44	3.989825732
45	4.0518181836
46	4.0973227053
47	4.1429610293
48	4.1810975339
49	4.2204229376
50	4.294452988
51	4.3068564849
52	4.3486296425
53	4.3782669717
54	4.3988353773
55	4.4414124529
56	4.4680969062
57	4.5079388385
58	4.545762569
59	4.5942928852
60	4.6344371306
61	4.670818233
62	4.7051454783
63	4.7479379792
64	4.7772996752
65	4.8150363009
66	4.8435020734
67	4.882386493
68	4.924066255
69	4.9810344968
70	5.0098060358
71	5.0468653419
72	5.072115247
73	5.099634057
74	5.1279302275
75	5.1562075235
76	5.1913596095
77	5.2139894431
78	5.2400166755
79	5.2630632195
80	5.298029745
81	5.335438281
82	5.3818200635
83	5.4245419094
84	5.4517185834
85	5.49919454
86	5.5184023986
87	5.5473390929
88	5.5861937518
89	5.6152647452
90	5.6394467944
91	5.6659831094
92	5.6917572108
93	5.7189794676
94	5.7543015121
95	5.7883762497
96	5.8227500431
97	5.8499646724
98	5.8847997728
99	5.93188874
100	5.9346567774
