n	H
2	1.6733721567
3	2.6545862214
4	3.7975468452
5	5.0097854576
6	6.3129411807
7	7.7516387169
8	9.5189362594
9	10.984815675
10	12.552755573
11	14.233074498
12	15.920647756
13	17.888140895
14	19.773680132
15	21.650373188
16	23.999208832
17	26.334364106
18	28.327439215
19	30.674471615
20	32.976429917
21	35.23952411
22	37.524222658
23	39.8398526
24	42.075162838
25	44.797016325
26	47.507653082
27	50.138014094
28	53.092928112
29	55.605856883
30	58.237582783
31	60.800581099
32	63.908738521
33	66.981186779
34	69.623522899
35	72.562412281
36	75.632443612
37	78.687255777
38	81.939239636
39	85.319361796
40	88.16048154
41	91.663675711
42	94.715218393
43	98.262826859
44	101.10988136
45	104.60928879
46	107.98179807
47	111.64499376
48	114.80141674
49	118.62282754
50	122.27931208
51	125.58199595
52	129.04747721
53	132.53223365
54	136.28756474
55	140.14499531
56	143.82347026
57	147.34544547
58	151.86096162
59	154.90080935
60	158.93104975
61	162.66374114
62	167.17222567
63	171.02567386
64	175.24275326
65	179.03499174
66	182.8520689
67	187.37369997
68	191.54164382
69	195.70165532
70	199.7010072
71	203.75104344
72	207.89398904
73	212.4697633
74	217.03406204
75	220.97839361
76	225.73887194
77	229.89150605
78	234.30627246
79	238.11670893
80	242.47088973
81	247.21902861
82	251.83744011
83	256.35438991
84	261.01559994
85	265.24068896
86	270.23350617
87	274.36933268
88	279.12433096
89	284.02808347
90	288.37525923
91	293.74970406
92	298.59768087
93	303.31112563
94	308.29773419
95	313.01788018
96	318.15688566
97	323.08407981
98	327.55608321
99	332.69141779
100	337.71234565
