n	H
1	1
2	2
3	2.0000364565
4	2.0000460321
5	2.7071817153
6	2.9999728763
7	3.0000779198
8	3.0001456308
9	3.0001479852
10	3.7072429899
11	3.8870518665
12	4.0000562417
13	4.0001478919
14	4.0001930744
15	4.0002048695
16	4.0003261003
17	4.707323246
18	4.8230213918
19	4.9999901462
20	5.0001625254
21	5.0002433436
22	5.000394773
23	5.0004491188
24	5.0005369815
25	5.0005092939
26	5.7074110755
27	5.7080192291
28	6.0000431588
29	6.0002102182
30	6.0003490181
31	6.0003857568
32	6.0005883885
33	6.0006546983
34	6.0007231798
35	6.0008190463
36	6.0008919883
37	6.9999884306
38	7.0001463863
39	7.0000486512
40	7.0002793256
41	7.0004508406
42	7.0005495231
43	7.0007121285
44	7.0007654725
45	7.0007804427
46	7.0009419356
47	7.0009937755
48	7.0011282555
49	7.0011754666
50	7.9999570283
51	8.000186178
52	8.0003280481
53	8.0004499943
54	8.0006070153
55	8.0007199113
56	8.0008476894
57	8.0009401307
58	8.0010355744
59	8.0011050061
60	8.001246797
61	8.0013429757
62	8.0014663301
63	8.0015524124
64	8.0015884656
65	8.9999330728
66	9.0001890521
67	9.0003210881
68	9.0004948803
69	9.0006637604
70	9.000714944
71	9.0009435492
72	9.0011128236
73	9.0011312442
74	9.0013397242
75	9.0013416555
76	9.0016592385
77	9.0017053649
78	9.0017785016
79	9.0018868494
80	9.0020082033
81	9.0020883746
82	10.000004106
83	10.00022795
84	10.00043359
85	10.000513022
86	10.000731542
87	10.000909496
88	10.001126304
89	10.001183011
90	10.001333798
91	10.001565801
92	10.001645184
93	10.001827778
94	10.001916972
95	10.002086586
96	10.002272882
97	10.002317516
98	10.002398866
99	10.002579298
100	10.002602827
