n	L
1	2
2	4
3	4.000072913
4	4.0000920642
5	5.4143634306
6	5.9999457526
7	6.0001558396
8	6.0002912616
9	6.0002959704
10	7.4144859798
11	7.774103733
12	8.0001124834
13	8.0002957838
14	8.0003861488
15	8.000409739
16	8.0006522006
17	9.414646492
18	9.6460427836
19	9.9999802924
20	10.0003250508
21	10.0004866872
22	10.000789546
23	10.0008982376
24	10.001073963
25	10.0010185878
26	11.414822151
27	11.4160384582
28	12.0000863176
29	12.0004204364
30	12.0006980362
31	12.0007715136
32	12.001176777
33	12.0013093966
34	12.0014463596
35	12.0016380926
36	12.0017839766
37	13.9999768612
38	14.0002927726
39	14.0000973024
40	14.0005586512
41	14.0009016812
42	14.0010990462
43	14.001424257
44	14.001530945
45	14.0015608854
46	14.0018838712
47	14.001987551
48	14.002256511
49	14.0023509332
50	15.9999140566
51	16.000372356
52	16.0006560962
53	16.0008999886
54	16.0012140306
55	16.0014398226
56	16.0016953788
57	16.0018802614
58	16.0020711488
59	16.0022100122
60	16.002493594
61	16.0026859514
62	16.0029326602
63	16.0031048248
64	16.0031769312
65	17.9998661456
66	18.0003781042
67	18.0006421762
68	18.0009897606
69	18.0013275208
70	18.001429888
71	18.0018870984
72	18.0022256472
73	18.0022624884
74	18.0026794484
75	18.002683311
76	18.003318477
77	18.0034107298
78	18.0035570032
79	18.0037736988
80	18.0040164066
81	18.0041767492
82	20.000008212
83	20.0004559
84	20.00086718
85	20.001026044
86	20.001463084
87	20.001818992
88	20.002252608
89	20.002366022
90	20.002667596
91	20.003131602
92	20.003290368
93	20.003655556
94	20.003833944
95	20.004173172
96	20.004545764
97	20.004635032
98	20.004797732
99	20.005158596
100	20.005205654
