n	H
1	1
2	3.0000647889
3	5
4	7
5	9
6	11
7	13
8	15
9	18
10	21
11	24
12	27
13	30
14	33
15	36
16	39
17	43.001752312
18	47
19	50.005817098
20	54.003097856
21	58.004156042
22	62.999981142
23	67.000391549
24	71.002661909
25	76.000177249
26	80.001589058
27	84.003726275
28	89.00185595
29	94.00078991
30	98.996029883
31	103.004073
32	108.00368087
33	113.00424547
34	118.00444342
35	124.00017487
36	129.00035516
37	134.00277341
38	139.00455539
39	145.00119468
40	150.00409414
41	156.00242445
42	161.00713677
43	167.00550324
44	173.00141571
45	179.00242995
46	185.00189627
47	190.9998903
48	197.0004742
49	203.00101815
50	209.00277696
51	215.00425311
52	221.99984415
53	228.00071501
54	234.00367669
55	241.00152755
56	247.00445192
57	254.00056362
58	260.0055998
59	267.00286896
60	274.00082234
61	280.33611917
62	287.00738926
63	294.00557334
64	301.00553364
65	308.00419816
66	315.00692421
67	322.00549532
68	329.01479651
69	337.00195521
70	344.00381323
71	351.00970353
72	358.99989378
73	366.00524225
74	374.00099988
75	381.0085511
76	388.00975422
77	397.00013042
78	404.00413745
79	412.00225042
80	419.00948676
81	427.01324148
82	435.0059662
83	443.00688135
84	451.00529985
85	459.00561324
86	467.01039944
87	475.00877588
88	483.00909561
89	491.01215689
90	500.00414585
91	508.0068581
92	516.83368687
93	524.01285169
94	533.00698483
95	542.00221201
96	550.01074268
97	559.00110763
98	567.00970749
99	576.00479011
100	585.0029713
