n	L
1	2
2	6.0001295778
3	10
4	14
5	18
6	22
7	26
8	30
9	36
10	42
11	48
12	54
13	60
14	66
15	72
16	78
17	86.003504624
18	94
19	100.011634196
20	108.006195712
21	116.008312084
22	125.999962284
23	134.000783098
24	142.005323818
25	152.000354498
26	160.003178116
27	168.00745255
28	178.0037119
29	188.00157982
30	197.992059766
31	206.008146
32	216.00736174
33	226.00849094
34	236.00888684
35	248.00034974
36	258.00071032
37	268.00554682
38	278.00911078
39	290.00238936
40	300.00818828
41	312.0048489
42	322.01427354
43	334.01100648
44	346.00283142
45	358.0048599
46	370.00379254
47	381.9997806
48	394.0009484
49	406.0020363
50	418.00555392
51	430.00850622
52	443.9996883
53	456.00143002
54	468.00735338
55	482.0030551
56	494.00890384
57	508.00112724
58	520.0111996
59	534.00573792
60	548.00164468
61	560.67223834
62	574.01477852
63	588.01114668
64	602.01106728
65	616.00839632
66	630.01384842
67	644.01099064
68	658.02959302
69	674.00391042
70	688.00762646
71	702.01940706
72	717.99978756
73	732.0104845
74	748.00199976
75	762.0171022
76	776.01950844
77	794.00026084
78	808.0082749
79	824.00450084
80	838.01897352
81	854.02648296
82	870.0119324
83	886.0137627
84	902.0105997
85	918.01122648
86	934.02079888
87	950.01755176
88	966.01819122
89	982.02431378
90	1000.0082917
91	1016.0137162
92	1033.66737374
93	1048.02570338
94	1066.01396966
95	1084.00442402
96	1100.02148536
97	1118.00221526
98	1134.01941498
99	1152.00958022
100	1170.0059426
